Date,Away Team,Home Odds,Draw Odds,Away Odds
20150328,10,2.29,3.74,2.72
20150328,28,2.46,3.64,2.56
20150328,17,1.47,4.82,5.65
20150328,22,2.35,3.61,2.73
20150327,5,3.57,4.06,1.83
20150327,20,1.68,4.24,4.24
20150327,23,1.87,3.8,3.65
20150326,9,1.72,3.99,4.12
20150326,13,2.33,3.56,2.78
20150326,28,2.06,3.77,3.11
20150326,0,2.51,3.64,2.51
20150326,22,2.11,3.71,3.03
20150326,15,3.26,3.75,2.01
20150326,10,2.32,3.64,2.74
20150326,17,2.79,3.6,2.3
20150326,1,3.19,3.71,2.04
20150326,29,2.55,3.58,2.51
20150326,6,1.79,3.89,3.92
20150325,5,2.47,3.68,2.55
20150325,9,2.98,3.76,2.12
20150325,21,3.16,3.68,2.06
20150324,3,2.02,3.76,3.24
20150324,13,2.26,3.58,2.86
20150324,17,1.48,4.62,5.72
20150324,15,1.91,3.84,3.48
20150324,10,3.41,3.87,1.93
20150324,8,2.11,3.73,3.03
20150324,29,2.06,3.69,3.16
20150324,14,2.35,3.63,2.71
20150323,3,3.33,3.85,1.96
20150323,9,2.16,3.74,2.91
20150323,16,1.36,5.21,6.88
20150323,28,2.26,3.77,2.75
20150323,8,4.0,4.04,1.75
20150323,21,3.73,3.85,1.84
20150323,29,3.33,3.73,1.99
20150322,26,3.83,3.92,1.8
20150322,10,2.4,3.65,2.63
20150322,24,1.94,3.84,3.39
20150322,14,2.28,3.67,2.77
20150321,4,2.97,3.74,2.14
20150321,1,4.27,4.07,1.69
20150321,21,2.8,3.78,2.22
20150321,16,1.36,5.13,7.12
20150321,0,3.3,3.73,2.0
20150321,24,2.62,3.58,2.43
20150321,28,2.15,3.7,2.96
20150321,12,3.26,3.76,2.01
20150321,11,1.69,4.22,4.17
20150321,19,2.49,3.65,2.53
20150321,20,2.06,3.85,3.07
20150321,26,1.92,3.79,3.49
20150321,14,2.36,3.64,2.69
20150320,9,1.77,4.07,3.84
20150320,25,1.97,3.92,3.25
20150320,6,3.71,3.84,1.85
20150319,9,3.2,3.63,2.07
20150319,20,1.81,3.96,3.74
20150319,4,2.21,3.68,2.87
20150319,1,2.47,3.68,2.53
20150319,19,2.11,3.65,3.08
20150319,14,2.79,3.62,2.3
20150319,25,2.51,3.61,2.57
20150319,27,1.8,3.89,3.85
20150319,24,2.6,3.59,2.44
20150319,28,3.3,3.89,1.96
20150318,29,2.55,3.53,2.52
20150318,20,2.63,3.69,2.37
20150318,21,2.14,3.71,3.0
20150317,4,2.09,3.72,3.08
20150317,14,2.83,3.73,2.21
20150317,12,2.05,3.79,3.12
20150317,8,2.31,3.6,2.78
20150317,28,2.39,3.61,2.67
20150317,16,1.35,5.32,7.11
20150317,13,2.5,3.54,2.57
20150317,18,2.72,3.69,2.33
20150317,1,2.87,3.57,2.27
20150316,17,1.47,4.55,5.85
20150316,11,2.38,3.76,2.59
20150316,13,2.31,3.65,2.75
20150316,19,5.34,4.23,1.55
20150315,22,2.06,3.69,3.15
20150315,24,2.23,3.56,2.92
20150315,4,1.95,3.94,3.3
20150315,14,2.38,3.83,2.58
20150315,27,2.14,3.78,2.95
20150315,15,1.72,4.0,4.15
20150315,25,2.28,3.68,2.77
20150314,23,2.14,3.72,2.97
20150314,22,2.05,3.66,3.2
20150314,6,2.84,3.61,2.26
20150314,8,2.05,3.72,3.19
20150314,0,5.48,4.46,1.51
20150314,15,2.32,3.67,2.73
20150314,13,2.42,3.56,2.66
20150314,3,1.83,3.99,3.64
20150314,11,1.7,4.24,4.1
20150314,21,2.67,3.53,2.43
20150314,25,2.85,3.75,2.2
20150314,24,2.13,3.67,3.05
20150313,11,1.8,4.02,3.73
20150313,10,2.16,3.81,2.88
20150313,2,1.79,4.0,3.84
20150313,18,1.84,4.01,3.58
20150313,5,1.89,3.88,3.51
20150312,22,2.54,3.57,2.51
20150312,21,4.09,4.09,1.72
20150312,29,2.79,3.71,2.26
20150312,6,2.15,3.63,3.02
20150312,4,1.84,3.89,3.67
20150312,20,1.75,4.07,3.93
20150312,3,2.75,3.61,2.33
20150312,18,1.98,3.75,3.33
20150312,7,2.32,3.69,2.69
20150312,5,2.39,3.72,2.62
20150312,2,1.45,4.75,5.93
20150311,10,3.16,3.81,2.03
20150311,0,2.12,3.82,2.94
20150311,16,1.65,4.25,4.39
20150310,29,3.39,3.75,1.97
20150310,6,1.74,4.0,4.08
20150310,3,1.83,3.91,3.74
20150310,7,2.4,3.57,2.69
20150310,24,2.72,3.61,2.34
20150310,20,2.15,3.65,2.99
20150310,0,2.47,3.66,2.56
20150310,5,2.28,3.77,2.75
20150309,22,4.1,4.11,1.72
20150309,1,2.68,3.73,2.33
20150309,10,2.66,3.68,2.36
20150309,2,1.51,4.57,5.34
20150309,12,3.46,3.91,1.9
20150308,0,2.18,3.75,2.89
20150308,23,2.11,3.74,3.05
20150308,9,1.74,4.01,4.05
20150308,4,2.46,3.64,2.61
20150308,2,1.8,3.83,3.97
20150308,25,2.42,3.61,2.63
20150307,1,2.18,3.72,2.91
20150307,26,2.04,3.78,3.18
20150307,13,3.98,4.0,1.76
20150307,9,2.55,3.68,2.46
20150307,12,3.28,3.83,1.98
20150307,3,1.85,3.94,3.58
20150307,5,1.8,3.97,3.78
20150307,14,3.29,3.86,1.97
20150307,16,1.35,5.23,7.58
20150307,4,2.01,3.74,3.25
20150306,1,2.4,3.74,2.58
20150306,2,1.48,4.7,5.65
20150306,23,1.74,4.02,4.03
20150306,16,1.5,4.55,5.6
20150306,8,2.76,3.6,2.32
20150306,20,2.14,3.81,2.94
20150305,13,1.95,3.69,3.48
20150305,26,3.6,3.92,1.86
20150305,12,2.13,3.78,2.95
20150305,5,2.46,3.7,2.54
20150305,11,1.64,4.21,4.44
20150305,23,1.81,3.89,3.82
20150305,14,2.72,3.73,2.29
20150305,8,2.36,3.52,2.76
20150304,13,2.5,3.63,2.53
20150304,1,3.3,3.89,1.96
20150304,0,2.25,3.72,2.8
20150304,18,1.9,3.89,3.47
20150303,28,2.45,3.7,2.57
20150303,29,4.0,3.86,1.79
20150303,10,3.82,3.97,1.79
20150303,12,2.88,3.85,2.16
20150303,18,1.84,3.88,3.71
20150303,11,1.94,3.83,3.52
20150303,16,1.33,5.42,7.56
20150303,19,3.29,3.83,1.98
20150303,22,2.78,3.65,2.29
20150303,23,2.0,3.73,3.3
20150302,13,2.81,3.69,2.27
20150302,27,1.75,4.09,3.92
20150302,22,2.37,3.72,2.65
20150301,14,2.51,3.61,2.53
20150301,10,2.72,3.79,2.29
20150301,11,1.62,4.28,4.6
20150301,7,3.52,3.84,1.9
20150301,20,1.58,4.38,4.76
20150301,29,2.79,3.58,2.32
20150228,8,3.07,3.72,2.11
20150228,14,4.19,3.97,1.72
20150228,18,1.93,3.89,3.41
20150228,0,2.68,3.66,2.37
20150228,11,1.74,3.95,4.08
20150228,17,1.67,4.1,4.38
20150228,6,2.32,3.68,2.79
20150228,27,1.79,3.95,3.87
20150228,16,1.64,4.23,4.55
20150228,25,1.97,3.79,3.37
20150227,29,2.35,3.57,2.74
20150227,9,2.2,3.72,2.89
20150227,21,2.04,3.87,3.13
20150227,24,2.69,3.61,2.37
20150227,19,3.11,3.7,2.09
20150227,23,1.78,4.06,3.83
20150226,18,1.64,4.06,4.67
20150226,25,2.27,3.7,2.78
20150226,8,2.09,3.7,3.11
20150226,14,2.9,3.81,2.17
20150226,21,2.86,3.67,2.23
20150226,4,2.35,3.74,2.64
20150226,26,4.02,4.13,1.73
20150226,13,3.13,3.74,2.07
20150226,17,1.6,4.31,4.66
20150225,18,1.78,4.02,3.84
20150225,1,2.35,3.65,2.71
20150225,23,2.3,3.71,2.75
20150224,25,1.83,3.79,3.85
20150224,15,1.79,3.98,3.84
20150224,2,1.53,4.66,5.0
20150224,9,1.79,3.94,3.86
20150224,13,2.17,3.63,3.0
20150224,5,2.12,3.75,3.01
20150224,26,1.97,3.79,3.35
20150224,4,2.34,3.7,2.68
20150224,16,1.69,4.16,4.24
20150224,17,1.56,4.43,4.9
20150224,23,1.98,3.91,3.25
20150223,25,2.23,3.7,2.86
20150223,17,1.94,3.79,3.47
20150222,5,1.82,3.96,3.7
20150222,20,1.73,4.1,4.07
20150222,7,2.58,3.71,2.43
20150220,0,4.35,4.42,1.63
20150220,11,2.01,3.96,3.15
20150220,26,2.5,3.62,2.55
20150219,28,2.49,3.83,2.5
20150219,15,2.09,3.84,3.1
20150219,22,2.43,3.78,2.59
20150219,26,2.05,3.82,3.19
20150219,16,1.6,4.39,4.8
20150219,20,1.68,4.27,4.33
20150219,3,1.97,3.88,3.4
20150218,7,2.25,3.81,2.74
20150218,29,3.01,3.58,2.18
20150218,24,3.93,4.14,1.75
20150218,8,2.62,3.65,2.43
20150218,25,1.98,3.8,3.32
20150218,13,2.91,3.84,2.15
20150217,28,1.98,3.85,3.29
20150217,5,1.78,4.15,3.77
20150217,16,1.71,3.89,4.35
20150217,15,2.6,3.73,2.39
20150217,12,2.71,3.74,2.33
20150217,20,2.13,3.79,2.97
20150217,19,2.02,3.92,3.14
20150216,7,1.99,4.04,3.15
20150216,8,2.65,3.55,2.44
20150216,24,2.89,3.63,2.23
20150216,17,1.83,3.92,3.74
20150216,2,1.63,4.31,4.43
20150216,13,2.24,3.68,2.84
20150216,27,2.17,3.87,2.87
20150216,0,2.12,3.72,3.03
20150215,19,1.97,3.84,3.31
20150215,7,2.39,3.69,2.63
20150215,4,3.53,3.92,1.89
20150215,14,3.27,3.77,2.02
20150215,1,2.08,3.77,3.11
20150214,26,2.32,3.59,2.78
20150214,19,2.19,3.7,2.93
20150214,5,2.1,3.76,3.03
20150214,0,3.44,3.97,1.9
20150214,27,1.83,3.91,3.71
20150214,6,1.68,4.09,4.36
20150214,3,2.0,3.88,3.22
20150214,11,1.74,4.0,4.1
20150214,20,1.66,4.19,4.38
20150214,2,1.93,3.9,3.4
20150213,24,2.69,3.63,2.37
20150213,28,3.11,3.9,2.04
20150213,6,1.63,4.17,4.67
20150213,15,1.79,4.0,3.83
20150213,4,2.3,3.62,2.81
20150212,23,2.03,3.67,3.3
20150212,0,2.67,3.77,2.34
20150212,15,1.94,3.88,3.39
20150212,3,1.91,3.89,3.45
20150212,2,1.66,4.22,4.35
20150212,1,2.93,3.7,2.2
20150212,14,2.35,3.76,2.65
20150212,10,2.86,3.81,2.22
20150212,11,1.76,4.12,3.87
20150211,19,2.35,3.82,2.64
20150211,26,1.79,4.01,3.82
20150211,25,2.2,3.82,2.83
20150210,7,2.09,3.83,3.01
20150210,17,1.51,4.59,5.3
20150210,8,2.23,3.69,2.85
20150210,10,2.51,3.76,2.48
20150210,4,1.81,4.02,3.7
20150210,0,2.9,3.81,2.17
20150210,5,2.07,3.81,3.07
20150210,18,3.56,3.72,1.93
20150210,2,1.53,4.51,5.08
20150209,23,2.11,3.76,3.02
20150209,17,1.56,4.53,4.84
20150209,26,2.15,3.75,2.98
20150209,29,3.14,3.76,2.07
20150209,2,1.82,3.87,3.79
20150208,13,2.15,3.7,2.98
20150208,9,1.91,3.86,3.48
20150208,12,4.48,4.11,1.66
20150208,5,2.06,3.84,3.08
20150208,10,2.34,3.74,2.68
20150208,22,2.51,3.56,2.57
20150208,4,1.93,3.88,3.41
20150208,21,2.31,3.71,2.73
20150207,27,1.89,3.87,3.56
20150207,1,2.37,3.56,2.73
20150207,25,3.4,3.82,1.95
20150207,9,1.91,3.8,3.53
20150207,12,2.0,3.85,3.22
20150207,5,4.04,3.98,1.76
20150207,6,1.71,4.02,4.2
20150207,20,1.98,3.81,3.34
20150207,2,2.05,3.81,3.13
20150207,29,2.04,3.88,3.14
20150207,0,2.09,3.74,3.1
