team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
NYR,2014,NYR,2014020011,0,14,1,20141009,Team Level,all,0.4959,0.4526,0.4769,3600.0,22.568,2.423,1.29,4.943,0.657,11.847,9.84,2.126,2.541,2.243,25.0,6.0,12.0,43.0,3.0,1.0,0.0,8.0,0.0,8.0,11.0,22.0,28.0,8.0,19.0,25.0,21.0,5.0,2.0,24.0,3.0,4.0,0.482,0.27,1.671,0.0,2.0,1.0,46.165,31.0,33.291,1.0,0.284,0.765,0.765,1.942,2.08,2.071,24.323,2.463,1.719,5.722,0.752,13.366,9.977,2.374,2.315,2.233,25.0,9.0,18.0,52.0,2.0,4.0,1.0,5.0,0.0,12.0,11.0,23.0,32.0,6.0,15.0,31.0,18.0,4.0,2.0,26.0,5.0,3.0,0.779,0.708,0.975,1.0,0.0,1.0,49.17,34.0,32.124,1.0,0.377,1.159,1.159,1.681,1.58,1.551,0
OTT,2014,OTT,2014020012,18,22,1,20141009,Team Level,all,0.3471,0.4095,0.3735,3600.0,22.002,1.543,1.267,5.214,0.729,12.484,9.763,1.528,1.594,1.578,20.0,11.0,12.0,43.0,2.0,0.0,0.0,6.0,1.0,8.0,14.0,18.0,29.0,4.0,8.0,28.0,23.0,6.0,4.0,25.0,5.0,1.0,0.497,0.468,0.578,0.0,1.0,1.0,43.998,31.0,31.761,2.0,0.285,0.0,0.0,1.828,1.888,1.871,37.121,2.902,2.688,7.572,1.142,22.31,15.387,2.872,2.807,2.778,37.0,15.0,10.0,62.0,3.0,0.0,0.0,5.0,2.0,23.0,19.0,34.0,49.0,5.0,10.0,36.0,23.0,11.0,8.0,41.0,10.0,1.0,1.328,1.305,0.27,1.0,1.0,1.0,60.018,52.0,50.377,5.0,0.562,0.0,0.0,3.465,3.348,3.311,0
DAL,2014,DAL,2014020013,5,21,0,20141009,Team Level,all,0.7011,0.5177,0.5758,3900.0,42.153,4.562,3.201,9.342,1.297,22.27,16.327,4.164,4.446,4.064,34.0,23.0,16.0,73.0,2.0,5.0,0.0,5.0,1.0,15.0,29.0,32.0,55.0,6.0,12.0,36.0,25.0,14.0,9.0,36.0,17.0,4.0,0.98,2.363,1.219,0.0,2.0,0.0,71.569,57.0,56.282,3.0,0.708,1.299,1.299,3.971,3.891,3.736,30.358,1.945,2.155,6.879,0.941,17.516,12.565,1.912,1.997,1.963,26.0,16.0,26.0,68.0,2.0,3.0,0.0,3.0,1.0,19.0,14.0,24.0,40.0,7.0,14.0,30.0,12.0,8.0,10.0,37.0,3.0,2.0,0.768,0.466,0.711,1.0,0.0,1.0,68.901,42.0,42.477,7.0,0.478,0.443,0.443,1.981,2.024,2.011,0
MIN,2014,MIN,2014020014,8,9,0,20141009,Team Level,all,0.7881,0.729,0.75,3600.0,49.002,5.503,3.63,11.248,1.591,27.683,19.346,5.07,5.512,5.079,48.0,21.0,9.0,78.0,5.0,7.0,2.0,12.0,1.0,21.0,23.0,43.0,64.0,6.0,12.0,32.0,13.0,10.0,4.0,45.0,18.0,6.0,1.477,2.12,1.907,2.0,1.0,2.0,81.912,69.0,70.404,2.0,0.776,1.893,1.893,4.386,4.408,4.25,16.732,1.48,1.19,3.647,0.515,8.85,7.317,1.349,1.455,1.328,16.0,7.0,6.0,29.0,0.0,3.0,0.0,0.0,0.0,11.0,9.0,16.0,23.0,4.0,8.0,23.0,20.0,4.0,6.0,16.0,5.0,2.0,0.439,0.497,0.544,0.0,0.0,0.0,27.693,23.0,22.456,5.0,0.256,0.575,0.575,1.162,1.152,1.124,0
EDM,2014,EDM,2014020015,2,23,0,20141009,Team Level,all,0.5597,0.6579,0.6333,3600.0,40.305,3.157,2.614,9.75,1.409,23.862,16.208,2.98,2.981,2.809,40.0,17.0,18.0,75.0,2.0,2.0,0.0,13.0,3.0,17.0,20.0,38.0,55.0,2.0,4.0,39.0,18.0,8.0,6.0,47.0,7.0,3.0,1.171,0.966,1.021,1.0,1.0,0.0,70.249,57.0,53.709,3.0,0.577,0.716,0.716,3.018,2.844,2.758,23.618,2.484,1.661,5.533,0.844,13.056,9.422,2.414,2.621,2.55,26.0,7.0,6.0,39.0,5.0,2.0,1.0,3.0,0.0,7.0,16.0,21.0,28.0,3.0,6.0,27.0,21.0,5.0,13.0,25.0,7.0,1.0,0.786,0.944,0.754,3.0,1.0,1.0,42.22,33.0,35.525,7.0,0.364,0.813,0.813,2.035,2.195,2.175,0
WPG,2014,WPG,2014020016,3,17,1,20141009,Team Level,all,0.5755,0.43,0.4605,3600.0,25.361,3.661,1.731,4.874,0.809,13.842,10.083,3.635,3.818,3.792,27.0,8.0,8.0,43.0,6.0,0.0,0.0,3.0,0.0,12.0,14.0,21.0,29.0,7.0,17.0,22.0,13.0,4.0,6.0,22.0,8.0,5.0,0.666,0.959,2.036,2.0,4.0,0.0,46.822,35.0,37.309,4.0,0.449,0.0,0.0,4.11,4.289,4.26,27.941,2.7,2.185,5.74,0.874,17.547,11.954,2.626,2.535,2.464,28.0,13.0,16.0,57.0,2.0,2.0,1.0,4.0,0.0,15.0,18.0,26.0,39.0,9.0,21.0,33.0,23.0,7.0,9.0,29.0,11.0,1.0,1.167,1.217,0.316,1.0,0.0,1.0,51.546,41.0,37.738,3.0,0.476,0.448,0.448,2.728,2.533,2.487,0
NYI,2014,NYI,2014020017,12,27,1,20141010,Team Level,all,0.5128,0.4771,0.4634,3600.0,26.995,3.17,1.754,6.033,0.857,15.061,11.124,3.164,3.388,3.381,26.0,12.0,14.0,52.0,5.0,0.0,0.0,2.0,3.0,13.0,15.0,21.0,33.0,5.0,10.0,26.0,32.0,5.0,2.0,29.0,5.0,4.0,0.977,0.607,1.586,2.0,1.0,2.0,58.12,38.0,42.087,2.0,0.382,0.0,0.0,3.552,3.805,3.796,31.784,3.012,2.446,7.72,1.083,17.658,12.081,2.828,2.872,2.693,24.0,20.0,13.0,57.0,3.0,4.0,0.0,4.0,1.0,17.0,15.0,21.0,41.0,3.0,6.0,33.0,25.0,5.0,4.0,33.0,8.0,3.0,1.193,0.953,0.866,1.0,2.0,0.0,52.366,44.0,40.97,2.0,0.548,0.876,0.876,2.683,2.534,2.465,0
WSH,2014,WSH,2014020018,19,24,1,20141011,Team Level,all,0.4869,0.3958,0.3973,3600.0,20.831,2.235,1.391,4.378,0.648,11.567,8.781,2.231,2.345,2.341,21.0,8.0,9.0,38.0,4.0,0.0,0.0,5.0,0.0,9.0,11.0,17.0,25.0,6.0,15.0,19.0,23.0,7.0,9.0,24.0,3.0,2.0,0.733,0.388,1.114,1.0,1.0,2.0,41.776,29.0,31.169,3.0,0.325,0.0,0.0,2.56,2.687,2.683,30.287,2.355,2.047,6.541,0.98,17.275,14.803,2.275,2.204,2.129,29.0,15.0,14.0,58.0,0.0,2.0,0.0,9.0,0.0,11.0,22.0,29.0,44.0,6.0,15.0,34.0,28.0,6.0,12.0,33.0,10.0,1.0,0.886,1.053,0.416,0.0,0.0,0.0,53.435,44.0,40.971,3.0,0.436,0.442,0.442,2.349,2.215,2.175,0
PIT,2014,PIT,2014020019,1,11,1,20141011,Team Level,all,0.5836,0.5772,0.5729,3600.0,39.954,5.31,2.727,8.205,1.254,21.916,15.589,5.029,5.625,5.325,41.0,14.0,16.0,71.0,5.0,3.0,3.0,6.0,3.0,22.0,16.0,36.0,50.0,7.0,17.0,34.0,35.0,10.0,11.0,40.0,10.0,5.0,1.079,1.353,2.878,0.0,0.0,5.0,79.907,55.0,60.262,9.0,0.641,1.475,1.475,4.475,4.773,4.485,30.024,3.789,2.33,6.13,0.919,17.067,10.765,3.448,3.653,3.315,25.0,16.0,11.0,52.0,2.0,1.0,0.0,7.0,2.0,23.0,6.0,23.0,39.0,6.0,15.0,35.0,34.0,11.0,7.0,20.0,18.0,3.0,0.645,2.323,0.821,0.0,2.0,0.0,47.968,41.0,38.521,5.0,0.558,0.327,0.327,4.02,3.862,3.482,0
ANA,2014,ANA,2014020020,10,25,1,20141011,Team Level,all,0.3884,0.4574,0.4615,3600.0,22.629,1.507,1.535,5.009,0.647,12.395,8.908,1.498,1.6,1.591,26.0,4.0,13.0,43.0,3.0,0.0,0.0,7.0,0.0,10.0,10.0,23.0,27.0,3.0,6.0,28.0,19.0,2.0,4.0,24.0,5.0,1.0,0.589,0.703,0.215,0.0,2.0,1.0,44.83,30.0,31.252,1.0,0.323,0.0,0.0,1.83,1.938,1.927,25.297,2.373,1.688,5.354,0.753,13.896,10.936,2.333,2.298,2.258,29.0,6.0,16.0,51.0,2.0,1.0,0.0,5.0,1.0,9.0,17.0,27.0,33.0,4.0,8.0,23.0,26.0,0.0,9.0,23.0,11.0,1.0,0.638,1.458,0.277,2.0,0.0,0.0,49.358,35.0,33.919,7.0,0.367,0.166,0.166,2.574,2.486,2.461,0
