team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
T.B,2014,T.B,2014020959,7,11,0,20150305,Team Level,all,0.5439,0.4779,0.5128,3600.0,27.606,2.337,2.094,5.768,0.881,17.422,11.498,2.231,2.341,2.235,31.0,9.0,14.0,54.0,4.0,1.0,0.0,9.0,3.0,13.0,10.0,27.0,36.0,5.0,13.0,29.0,21.0,5.0,11.0,27.0,13.0,0.0,0.982,1.355,0.0,0.0,4.0,0.0,55.756,40.0,41.422,5.0,0.441,0.153,0.153,2.625,2.63,2.522,26.514,1.96,2.11,6.649,0.939,15.905,10.438,1.942,1.949,1.932,27.0,11.0,21.0,59.0,2.0,3.0,0.0,9.0,3.0,9.0,12.0,25.0,36.0,5.0,13.0,37.0,25.0,5.0,5.0,31.0,7.0,0.0,1.057,0.903,0.0,1.0,1.0,0.0,57.02,38.0,36.856,1.0,0.468,0.134,0.134,2.294,2.282,2.261,0
DAL,2014,DAL,2014020960,5,15,1,20150305,Team Level,all,0.4854,0.6311,0.5921,3900.0,31.786,2.237,2.047,7.021,0.989,18.642,14.065,2.213,2.361,2.335,32.0,13.0,20.0,65.0,3.0,0.0,0.0,9.0,2.0,16.0,15.0,29.0,42.0,3.0,9.0,41.0,41.0,6.0,5.0,36.0,8.0,1.0,1.013,1.013,0.211,2.0,1.0,0.0,68.038,45.0,47.012,1.0,0.429,0.0,0.0,2.666,2.811,2.774,23.218,2.372,1.477,5.226,0.703,12.25,8.973,2.313,2.303,2.248,24.0,7.0,7.0,38.0,3.0,2.0,0.0,3.0,0.0,7.0,16.0,21.0,28.0,3.0,9.0,29.0,36.0,12.0,5.0,18.0,12.0,1.0,0.562,1.583,0.227,2.0,1.0,0.0,36.942,31.0,30.231,1.0,0.322,0.4,0.4,2.294,2.244,2.226,0
NYI,2014,NYI,2014020961,12,22,1,20150305,Team Level,all,0.4094,0.4322,0.4205,3600.0,25.813,2.327,1.607,5.758,0.847,14.91,11.551,2.31,2.475,2.456,26.0,11.0,14.0,51.0,4.0,2.0,1.0,5.0,1.0,12.0,13.0,22.0,33.0,1.0,2.0,23.0,17.0,10.0,6.0,31.0,3.0,3.0,0.838,0.402,1.088,2.0,0.0,2.0,55.56,37.0,40.061,6.0,0.342,0.47,0.47,2.2,2.328,2.316,37.249,3.357,2.751,8.348,1.198,20.393,14.953,3.146,3.129,2.933,31.0,20.0,16.0,67.0,3.0,3.0,1.0,7.0,0.0,19.0,19.0,28.0,48.0,2.0,4.0,30.0,23.0,7.0,9.0,37.0,11.0,3.0,0.996,1.64,0.721,0.0,2.0,1.0,62.432,51.0,47.522,4.0,0.576,0.669,0.669,3.264,3.043,2.982,0
ARI,2014,ARI,2014020962,17,26,0,20150305,Team Level,all,0.6562,0.472,0.4891,3900.0,32.327,3.666,2.319,7.309,0.984,16.276,14.446,3.357,3.661,3.352,35.0,10.0,14.0,59.0,2.0,4.0,2.0,11.0,2.0,13.0,13.0,33.0,43.0,3.0,11.0,33.0,35.0,4.0,6.0,30.0,9.0,6.0,0.795,1.097,1.774,0.0,0.0,2.0,59.498,45.0,45.411,1.0,0.51,1.088,1.088,3.088,3.074,2.84,33.08,1.921,2.165,8.33,1.126,19.414,14.045,1.911,1.923,1.913,34.0,13.0,19.0,66.0,2.0,0.0,0.0,11.0,1.0,18.0,15.0,32.0,45.0,2.0,7.0,36.0,39.0,8.0,8.0,39.0,7.0,1.0,0.937,0.725,0.259,1.0,0.0,1.0,64.941,47.0,46.022,6.0,0.483,0.0,0.0,2.404,2.407,2.395,0
MTL,2014,MTL,2014020963,13,29,1,20150305,Team Level,all,0.3985,0.3889,0.3924,3900.0,22.408,1.399,1.428,5.137,0.67,12.074,10.292,1.383,1.436,1.42,18.0,13.0,11.0,42.0,3.0,0.0,0.0,1.0,0.0,11.0,16.0,15.0,28.0,6.0,15.0,26.0,40.0,2.0,9.0,26.0,4.0,1.0,0.593,0.587,0.219,0.0,2.0,1.0,42.031,31.0,31.017,6.0,0.308,0.0,0.0,1.708,1.749,1.73,34.301,2.112,2.174,7.967,1.08,19.727,14.94,2.088,2.103,2.079,29.0,19.0,18.0,66.0,3.0,1.0,0.0,4.0,0.0,17.0,23.0,26.0,45.0,4.0,11.0,30.0,31.0,7.0,15.0,40.0,8.0,0.0,1.034,1.078,0.0,0.0,3.0,0.0,66.925,48.0,48.545,11.0,0.472,0.133,0.133,2.451,2.437,2.424,0
N.J,2014,N.J,2014020964,6,20,0,20150306,Team Level,all,0.5752,0.5673,0.5385,3600.0,29.648,2.773,2.294,5.991,0.988,17.906,12.048,2.672,2.618,2.519,23.0,19.0,17.0,59.0,2.0,0.0,0.0,5.0,2.0,13.0,20.0,21.0,40.0,3.0,9.0,26.0,12.0,8.0,5.0,29.0,11.0,2.0,0.933,1.313,0.527,0.0,1.0,1.0,55.081,42.0,39.112,2.0,0.499,0.0,0.04,3.232,3.053,2.941,26.034,2.048,1.763,5.399,0.795,14.286,11.709,2.024,2.188,2.161,24.0,12.0,9.0,45.0,3.0,0.0,0.0,11.0,0.0,9.0,13.0,21.0,33.0,6.0,15.0,36.0,20.0,11.0,4.0,27.0,6.0,3.0,0.698,0.631,0.719,1.0,1.0,1.0,48.793,36.0,38.896,3.0,0.39,0.0,0.0,2.439,2.604,2.571,0
MIN,2014,MIN,2014020965,8,27,1,20150306,Team Level,all,0.3505,0.3241,0.3766,3600.0,21.162,1.403,1.129,5.092,0.668,11.293,9.414,1.332,1.532,1.452,19.0,10.0,6.0,35.0,3.0,1.0,1.0,5.0,1.0,7.0,12.0,16.0,26.0,2.0,4.0,25.0,30.0,8.0,9.0,24.0,4.0,1.0,0.5,0.469,0.435,1.0,1.0,1.0,37.521,29.0,31.097,6.0,0.239,0.435,0.435,1.208,1.302,1.298,33.522,2.6,2.521,8.013,1.162,19.547,14.155,2.508,2.465,2.376,38.0,10.0,25.0,73.0,1.0,4.0,0.0,10.0,1.0,20.0,12.0,37.0,47.0,1.0,2.0,33.0,40.0,7.0,16.0,36.0,11.0,1.0,1.086,1.273,0.242,0.0,1.0,0.0,67.701,48.0,44.901,7.0,0.542,0.431,0.431,2.712,2.557,2.499,0
BUF,2014,BUF,2014020966,16,18,1,20150306,Team Level,all,0.2424,0.3952,0.3976,3600.0,23.099,0.853,1.24,5.653,0.698,13.775,10.782,0.851,0.907,0.905,26.0,7.0,16.0,49.0,2.0,0.0,0.0,5.0,1.0,11.0,14.0,24.0,31.0,4.0,8.0,32.0,43.0,5.0,7.0,30.0,3.0,0.0,0.544,0.309,0.0,1.0,1.0,0.0,51.613,33.0,34.544,5.0,0.27,0.0,0.0,1.123,1.192,1.19,36.001,2.666,2.296,8.823,1.178,20.474,14.563,2.605,2.534,2.476,37.0,13.0,25.0,75.0,3.0,1.0,1.0,10.0,1.0,19.0,16.0,34.0,47.0,1.0,2.0,28.0,26.0,11.0,13.0,39.0,9.0,2.0,1.003,1.037,0.626,1.0,1.0,1.0,70.387,50.0,46.973,5.0,0.475,0.361,0.361,2.78,2.621,2.575,0
CGY,2014,CGY,2014020967,23,25,1,20150306,Team Level,all,0.5632,0.3663,0.4267,3600.0,21.815,2.635,1.428,4.847,0.735,12.75,9.606,2.631,2.729,2.725,24.0,8.0,5.0,37.0,5.0,1.0,0.0,3.0,2.0,7.0,14.0,19.0,27.0,2.0,4.0,25.0,21.0,6.0,2.0,25.0,4.0,3.0,0.532,0.442,1.661,3.0,0.0,2.0,38.675,32.0,33.189,1.0,0.315,0.091,0.091,2.859,2.963,2.96,29.728,2.044,1.982,6.702,0.946,17.394,13.931,2.023,2.0,1.98,35.0,8.0,21.0,64.0,2.0,2.0,0.0,9.0,1.0,7.0,22.0,33.0,41.0,2.0,4.0,31.0,22.0,9.0,6.0,34.0,8.0,1.0,0.776,1.004,0.264,0.0,1.0,1.0,62.045,43.0,41.917,5.0,0.422,0.373,0.373,2.093,2.037,2.025,0
EDM,2014,EDM,2014020968,2,21,1,20150306,Team Level,all,0.4564,0.4935,0.5,3900.0,40.248,2.805,2.446,9.323,1.27,22.002,18.154,2.783,3.001,2.977,47.0,9.0,20.0,76.0,1.0,0.0,0.0,6.0,0.0,18.0,31.0,46.0,55.0,3.0,6.0,24.0,32.0,12.0,2.0,43.0,12.0,1.0,1.254,1.32,0.232,0.0,0.0,1.0,81.314,56.0,59.631,2.0,0.511,0.0,0.0,3.316,3.547,3.52,41.404,3.341,2.884,9.083,1.33,22.99,16.372,3.252,3.128,3.046,39.0,17.0,22.0,78.0,1.0,0.0,0.0,8.0,3.0,19.0,25.0,38.0,55.0,1.0,2.0,38.0,32.0,13.0,8.0,42.0,13.0,1.0,1.505,1.563,0.273,1.0,0.0,0.0,73.065,56.0,52.668,4.0,0.6,0.0,0.359,3.582,3.361,3.3,0
PIT,2014,PIT,2014020969,1,10,1,20150306,Team Level,all,0.63,0.47,0.4865,3600.0,25.012,2.873,1.616,5.365,0.834,13.199,12.114,2.789,2.968,2.883,21.0,15.0,11.0,47.0,5.0,1.0,0.0,4.0,0.0,11.0,15.0,16.0,31.0,3.0,6.0,31.0,27.0,6.0,9.0,28.0,6.0,2.0,0.791,0.694,1.388,3.0,1.0,1.0,49.813,36.0,37.97,6.0,0.355,0.445,0.445,2.783,2.898,2.885,25.889,1.687,1.728,5.814,0.892,16.427,11.452,1.675,1.586,1.575,29.0,9.0,15.0,53.0,2.0,1.0,0.0,5.0,1.0,17.0,12.0,27.0,36.0,5.0,10.0,37.0,35.0,3.0,13.0,31.0,6.0,1.0,0.861,0.615,0.211,2.0,0.0,0.0,49.303,38.0,35.499,4.0,0.366,0.211,0.211,1.842,1.743,1.735,0
PHI,2014,PHI,2014020970,4,24,1,20150307,Team Level,all,0.4913,0.3902,0.4505,3832.0,29.736,2.302,1.722,6.911,0.897,16.013,13.156,2.289,2.358,2.345,31.0,10.0,7.0,48.0,2.0,0.0,0.0,12.0,0.0,14.0,13.0,29.0,39.0,4.0,8.0,29.0,27.0,3.0,9.0,32.0,6.0,3.0,0.651,0.657,0.995,1.0,0.0,1.0,48.841,41.0,41.637,3.0,0.369,0.0,0.0,2.67,2.74,2.724,34.985,2.384,2.471,7.884,1.074,21.09,15.097,2.346,2.335,2.298,37.0,13.0,25.0,75.0,3.0,0.0,0.0,8.0,0.0,18.0,21.0,34.0,47.0,2.0,4.0,33.0,27.0,4.0,6.0,40.0,10.0,0.0,1.182,1.202,0.0,1.0,2.0,0.0,74.545,50.0,49.795,3.0,0.545,0.0,0.0,2.929,2.871,2.823,0
TOR,2014,TOR,2014020971,11,14,0,20150307,Team Level,all,0.3678,0.3868,0.3778,3600.0,23.967,2.084,1.471,5.69,0.776,12.981,10.999,2.066,1.954,1.938,24.0,10.0,7.0,41.0,1.0,0.0,0.0,11.0,0.0,9.0,13.0,23.0,33.0,8.0,19.0,32.0,40.0,14.0,10.0,25.0,8.0,1.0,0.846,0.989,0.249,0.0,1.0,0.0,37.439,34.0,31.779,8.0,0.337,0.0,0.0,2.421,2.272,2.253,40.404,3.582,2.433,9.339,1.312,21.888,17.447,3.505,3.92,3.833,44.0,12.0,9.0,65.0,6.0,1.0,0.0,10.0,2.0,17.0,20.0,38.0,50.0,8.0,19.0,40.0,30.0,22.0,5.0,42.0,12.0,2.0,1.177,1.298,1.107,4.0,1.0,1.0,71.793,56.0,60.474,0.0,0.537,0.189,0.625,3.494,3.778,3.746,0
DAL,2014,DAL,2014020972,5,7,1,20150307,Team Level,all,0.4753,0.5189,0.5422,3600.0,32.137,3.155,1.939,6.578,0.956,16.747,15.626,3.133,3.224,3.202,35.0,10.0,10.0,55.0,4.0,1.0,0.0,7.0,0.0,10.0,23.0,31.0,41.0,4.0,8.0,23.0,19.0,3.0,8.0,34.0,9.0,2.0,0.922,1.008,1.225,1.0,1.0,2.0,56.106,45.0,45.668,7.0,0.426,0.104,0.104,3.477,3.554,3.531,28.318,3.483,2.024,5.664,0.826,14.857,11.146,3.412,3.363,3.297,28.0,10.0,13.0,51.0,5.0,1.0,0.0,1.0,1.0,16.0,14.0,23.0,33.0,2.0,4.0,25.0,19.0,6.0,6.0,23.0,13.0,2.0,0.775,1.701,1.008,1.0,3.0,1.0,49.499,38.0,36.943,2.0,0.436,0.229,0.229,3.691,3.571,3.525,0
NYI,2014,NYI,2014020973,12,15,1,20150307,Team Level,all,0.5729,0.6044,0.625,3900.0,29.136,2.204,1.781,6.792,0.883,15.756,12.585,2.197,2.25,2.243,28.0,12.0,15.0,55.0,3.0,1.0,0.0,7.0,2.0,15.0,12.0,25.0,37.0,3.0,6.0,33.0,40.0,9.0,1.0,31.0,6.0,3.0,0.758,0.616,0.83,1.0,0.0,2.0,55.293,40.0,39.917,1.0,0.393,0.111,0.111,2.486,2.534,2.528,17.17,1.643,1.021,3.551,0.522,9.424,7.838,1.63,1.625,1.612,18.0,6.0,12.0,36.0,3.0,0.0,0.0,2.0,0.0,7.0,12.0,15.0,21.0,5.0,10.0,31.0,42.0,16.0,8.0,16.0,7.0,1.0,0.506,0.913,0.223,3.0,0.0,0.0,36.142,24.0,24.356,2.0,0.22,0.0,0.0,1.863,1.843,1.828,0
BUF,2014,BUF,2014020974,16,19,1,20150307,Team Level,all,0.2256,0.3386,0.3191,3600.0,21.553,1.385,1.468,4.577,0.638,12.211,9.72,1.384,1.376,1.375,17.0,13.0,13.0,43.0,1.0,0.0,0.0,6.0,0.0,5.0,18.0,16.0,29.0,5.0,11.0,23.0,28.0,3.0,6.0,24.0,5.0,1.0,0.532,0.55,0.302,0.0,1.0,0.0,40.871,30.0,29.576,6.0,0.31,0.0,0.0,1.694,1.685,1.684,47.387,4.755,3.623,11.209,1.714,25.798,16.901,4.529,4.792,4.563,45.0,19.0,20.0,84.0,6.0,6.0,2.0,13.0,2.0,17.0,20.0,39.0,58.0,4.0,11.0,40.0,20.0,6.0,6.0,45.0,14.0,5.0,1.609,1.802,1.344,1.0,3.0,2.0,88.396,64.0,65.151,5.0,0.795,1.236,1.236,4.315,4.331,4.218,0
COL,2014,COL,2014020975,9,20,1,20150307,Team Level,all,0.5088,0.3832,0.4091,3600.0,26.631,2.911,2.06,5.798,0.867,14.441,9.924,2.857,3.136,3.076,33.0,3.0,5.0,41.0,4.0,2.0,0.0,12.0,2.0,10.0,6.0,29.0,32.0,2.0,4.0,39.0,18.0,3.0,2.0,27.0,5.0,4.0,0.537,0.635,1.738,0.0,1.0,3.0,46.17,36.0,39.349,1.0,0.483,0.294,0.294,3.099,3.321,3.299,36.689,2.81,2.445,9.007,1.22,20.982,15.537,2.74,2.538,2.476,44.0,8.0,14.0,66.0,0.0,3.0,0.0,11.0,3.0,21.0,14.0,44.0,52.0,6.0,12.0,30.0,30.0,2.0,6.0,38.0,13.0,1.0,1.167,1.311,0.331,0.0,0.0,0.0,57.59,52.0,46.452,2.0,0.508,0.396,0.396,2.922,2.646,2.61,0
WPG,2014,WPG,2014020976,3,22,1,20150307,Team Level,all,0.5917,0.4944,0.5079,3600.0,22.655,1.946,1.423,5.38,0.721,12.484,10.047,1.905,2.061,2.017,26.0,6.0,12.0,44.0,3.0,3.0,1.0,9.0,0.0,8.0,9.0,23.0,29.0,3.0,6.0,25.0,26.0,6.0,7.0,26.0,3.0,3.0,0.538,0.284,1.123,0.0,0.0,3.0,47.133,32.0,34.112,4.0,0.298,0.395,0.395,1.849,1.951,1.945,21.449,1.343,1.476,5.109,0.718,13.253,9.101,1.326,1.263,1.247,21.0,10.0,14.0,45.0,1.0,0.0,0.0,9.0,1.0,10.0,10.0,20.0,30.0,3.0,6.0,39.0,26.0,5.0,9.0,25.0,6.0,0.0,0.713,0.63,0.0,1.0,0.0,0.0,42.18,31.0,29.126,4.0,0.313,0.0,0.0,1.656,1.557,1.536,0
MTL,2014,MTL,2014020977,13,17,1,20150307,Team Level,all,0.5734,0.5,0.5106,3600.0,34.445,2.819,2.078,8.094,1.108,19.181,14.72,2.767,2.933,2.879,35.0,13.0,15.0,63.0,2.0,2.0,0.0,9.0,1.0,20.0,14.0,33.0,46.0,3.0,6.0,34.0,34.0,5.0,1.0,41.0,5.0,2.0,1.131,0.786,0.902,1.0,0.0,1.0,66.031,48.0,50.111,0.0,0.443,0.23,0.23,3.033,3.159,3.135,33.339,2.097,2.157,8.24,1.096,18.58,13.831,2.006,1.98,1.896,28.0,18.0,17.0,63.0,0.0,3.0,0.0,6.0,1.0,13.0,23.0,28.0,46.0,2.0,4.0,28.0,35.0,9.0,6.0,41.0,3.0,2.0,1.296,0.36,0.441,0.0,0.0,0.0,59.47,46.0,43.64,2.0,0.446,0.491,0.491,2.052,1.948,1.928,0
PIT,2014,PIT,2014020978,1,29,1,20150307,Team Level,all,0.352,0.4778,0.4412,3704.0,20.921,1.51,1.426,5.044,0.711,12.192,9.117,1.498,1.56,1.548,18.0,12.0,13.0,43.0,1.0,2.0,0.0,4.0,0.0,11.0,12.0,17.0,29.0,3.0,6.0,29.0,36.0,5.0,13.0,22.0,7.0,1.0,0.473,0.714,0.324,0.0,0.0,1.0,43.928,30.0,30.671,10.0,0.33,0.101,0.101,1.739,1.794,1.785,27.87,2.78,1.892,6.217,0.876,15.345,10.89,2.687,2.694,2.603,31.0,7.0,9.0,47.0,0.0,5.0,0.0,7.0,2.0,12.0,12.0,31.0,38.0,5.0,10.0,26.0,37.0,4.0,16.0,28.0,5.0,5.0,1.021,0.441,1.318,0.0,0.0,0.0,45.98,38.0,37.222,15.0,0.416,1.318,1.318,1.878,1.819,1.804,0
VAN,2014,VAN,2014020979,26,28,1,20150307,Team Level,all,0.4537,0.4783,0.4444,3600.0,33.073,3.886,2.18,7.255,0.99,17.185,12.503,3.432,3.931,3.476,34.0,10.0,22.0,66.0,3.0,2.0,0.0,14.0,0.0,9.0,16.0,31.0,41.0,5.0,13.0,27.0,26.0,2.0,24.0,32.0,7.0,5.0,0.718,0.825,2.342,0.0,1.0,2.0,66.271,44.0,44.221,13.0,0.512,0.306,0.306,4.092,4.132,3.677,40.76,4.68,3.441,8.629,1.28,22.109,14.86,4.57,4.607,4.497,40.0,15.0,17.0,72.0,2.0,3.0,2.0,12.0,3.0,12.0,23.0,38.0,53.0,7.0,17.0,39.0,26.0,9.0,9.0,36.0,13.0,6.0,1.353,1.593,1.734,0.0,0.0,2.0,71.39,55.0,54.882,3.0,0.751,0.772,0.772,4.659,4.572,4.501,0
EDM,2014,EDM,2014020980,2,27,1,20150308,Team Level,all,0.3911,0.3364,0.3289,3600.0,19.375,2.854,1.245,4.318,0.598,9.102,6.884,2.839,2.902,2.887,20.0,5.0,11.0,36.0,4.0,4.0,2.0,4.0,1.0,4.0,8.0,16.0,21.0,6.0,12.0,24.0,39.0,7.0,6.0,19.0,4.0,2.0,0.482,0.559,1.812,1.0,1.0,2.0,36.781,25.0,25.709,2.0,0.298,1.923,1.923,1.229,1.282,1.281,35.425,4.444,2.572,7.99,1.198,19.876,14.92,4.302,4.304,4.166,35.0,16.0,20.0,71.0,7.0,2.0,1.0,8.0,2.0,17.0,15.0,28.0,44.0,4.0,8.0,43.0,27.0,12.0,17.0,35.0,11.0,5.0,1.141,1.298,2.005,1.0,3.0,3.0,68.484,51.0,49.067,7.0,0.571,0.563,0.563,4.452,4.314,4.216,0
PHI,2014,PHI,2014020981,4,6,1,20150308,Team Level,all,0.378,0.5281,0.5156,3600.0,23.289,1.379,1.6,5.206,0.758,13.697,10.36,1.375,1.412,1.408,27.0,6.0,14.0,47.0,2.0,0.0,0.0,12.0,0.0,7.0,12.0,25.0,31.0,5.0,10.0,33.0,30.0,5.0,2.0,27.0,6.0,0.0,0.651,0.728,0.0,2.0,0.0,0.0,46.704,33.0,32.985,0.0,0.345,0.0,0.0,1.724,1.764,1.759,21.869,2.269,1.55,4.772,0.76,12.578,9.071,2.211,2.279,2.221,21.0,10.0,11.0,42.0,5.0,2.0,2.0,7.0,1.0,6.0,10.0,16.0,26.0,4.0,8.0,28.0,24.0,9.0,5.0,21.0,8.0,2.0,0.707,0.969,0.594,2.0,2.0,1.0,42.752,31.0,31.43,3.0,0.342,0.455,0.455,2.156,2.166,2.123,0
MIN,2014,MIN,2014020982,8,9,0,20150308,Team Level,all,0.596,0.6635,0.6538,3600.0,36.397,3.327,3.097,7.993,1.16,21.97,13.452,3.101,3.186,2.965,34.0,17.0,18.0,69.0,2.0,4.0,1.0,8.0,3.0,18.0,16.0,32.0,49.0,4.0,11.0,29.0,11.0,4.0,6.0,36.0,11.0,4.0,1.269,1.126,0.931,1.0,0.0,1.0,64.462,51.0,48.168,3.0,0.699,0.931,0.931,3.095,2.925,2.786,19.58,2.255,1.328,4.039,0.572,9.618,9.187,2.231,2.394,2.369,21.0,6.0,8.0,35.0,3.0,3.0,1.0,3.0,1.0,4.0,13.0,18.0,24.0,3.0,9.0,31.0,8.0,3.0,8.0,20.0,5.0,2.0,0.564,0.632,1.06,0.0,2.0,1.0,38.086,27.0,29.006,6.0,0.299,1.074,1.074,1.48,1.607,1.604,0
OTT,2014,OTT,2014020983,18,23,0,20150308,Team Level,all,0.5333,0.5069,0.4907,3900.0,40.981,3.275,2.764,9.922,1.294,20.455,15.289,3.137,3.309,3.168,42.0,11.0,20.0,73.0,4.0,4.0,0.0,10.0,0.0,13.0,22.0,38.0,49.0,3.0,9.0,31.0,33.0,15.0,9.0,41.0,7.0,5.0,1.199,0.788,1.288,3.0,0.0,1.0,76.788,53.0,54.494,5.0,0.594,1.08,1.08,2.788,2.817,2.762,39.355,2.866,2.887,9.41,1.366,21.923,16.548,2.751,2.827,2.714,46.0,9.0,16.0,71.0,4.0,5.0,1.0,8.0,0.0,18.0,20.0,42.0,51.0,3.0,9.0,31.0,19.0,8.0,8.0,44.0,7.0,4.0,0.92,0.8,1.146,2.0,1.0,1.0,68.345,55.0,53.795,5.0,0.638,0.591,0.591,2.913,2.877,2.763,0
BOS,2014,BOS,2014020984,24,25,0,20150308,Team Level,all,0.4684,0.4324,0.4556,3600.0,29.521,2.119,2.005,6.751,0.882,16.595,12.648,2.04,2.127,2.048,30.0,11.0,7.0,48.0,5.0,2.0,1.0,8.0,0.0,12.0,14.0,25.0,36.0,5.0,10.0,34.0,19.0,3.0,6.0,32.0,7.0,2.0,0.813,0.859,0.447,2.0,1.0,2.0,49.364,41.0,41.867,2.0,0.45,0.388,0.388,2.181,2.19,2.119,35.76,2.405,2.537,7.576,1.076,20.559,14.847,2.298,2.407,2.3,39.0,10.0,14.0,63.0,3.0,1.0,0.0,12.0,2.0,16.0,15.0,36.0,46.0,5.0,10.0,31.0,22.0,0.0,10.0,40.0,7.0,2.0,1.157,0.795,0.454,3.0,0.0,0.0,61.008,49.0,47.703,5.0,0.572,0.217,0.217,2.76,2.761,2.68,0
NYR,2014,NYR,2014020985,0,21,1,20150308,Team Level,all,0.5462,0.4444,0.4878,3632.0,29.903,2.495,1.979,7.158,1.21,15.423,11.734,2.353,2.617,2.467,36.0,4.0,8.0,48.0,1.0,2.0,0.0,10.0,2.0,10.0,15.0,35.0,39.0,3.0,6.0,22.0,22.0,5.0,1.0,32.0,7.0,1.0,1.027,1.106,0.363,1.0,0.0,0.0,49.344,40.0,41.098,1.0,0.414,0.342,0.877,2.032,2.128,2.015,30.071,2.073,1.963,7.419,0.974,17.331,12.24,2.061,1.999,1.987,29.0,13.0,18.0,60.0,0.0,0.0,0.0,9.0,1.0,10.0,22.0,29.0,42.0,1.0,2.0,29.0,11.0,8.0,8.0,34.0,7.0,1.0,0.975,0.708,0.39,0.0,0.0,0.0,58.47,42.0,40.992,6.0,0.41,0.0,0.39,2.093,2.023,2.015,0
TOR,2014,TOR,2014020986,11,12,0,20150309,Team Level,all,0.3593,0.3554,0.3723,3878.0,24.453,2.179,1.654,6.299,0.869,13.739,10.261,2.125,2.167,2.113,25.0,10.0,8.0,43.0,3.0,3.0,1.0,3.0,0.0,11.0,15.0,22.0,32.0,5.0,10.0,39.0,34.0,13.0,10.0,28.0,3.0,4.0,0.912,0.336,0.931,2.0,1.0,0.0,43.432,35.0,35.343,7.0,0.379,0.516,0.516,2.042,2.027,1.987,43.277,3.886,2.75,11.135,1.629,22.907,16.694,3.746,3.917,3.775,43.0,16.0,19.0,78.0,4.0,3.0,1.0,13.0,0.0,22.0,17.0,39.0,55.0,4.0,8.0,31.0,41.0,8.0,7.0,46.0,8.0,5.0,0.994,0.946,1.946,1.0,2.0,1.0,77.66,59.0,58.663,6.0,0.617,0.992,1.316,3.186,3.229,3.128,0
